00;000;PABL;Buckland, Buckland Airport;AK;United States;4;65-58-56N;161-09-07W;;;7;;
01;467;----;Lyngor Fyr;;Norway;6;58-38N;009-09E;;;4;5;P
01;474;----;Lyngdal I Numedal;;Norway;6;59-54N;009-32E;;;288;294;
01;475;ENSN;Skien-Geiteryggen;;Norway;6;59-11N;009-34E;;;1;14;
01;476;----;Jomfruland Fyr;;Norway;6;58-51N;009-33E;;;12;5;
01;477;----;Kongsberg Iv;;Norway;6;59-40N;009-39E;;;168;169;P
01;482;----;Ferder Fyr;;Norway;6;59-02N;010-32E;;;6;8;P
01;483;ENTO;Torp;;Norway;6;59-12N;010-16E;;;8;88;
01;488;ENFB;Oslo / Fornebu;;Norway;6;59-54N;010-38E;;;1;17;P
01;490;----;Tryvasshogda Ii;;Norway;6;59-59N;010-41E;;;528;529;
01;492;----;Oslo-Blindern;;Norway;6;59-57N;010-43E;;;94;96;
01;494;ENRY;Rygge;;Norway;6;59-23N;010-47E;;;5;53;P
01;495;----;Stromtangen Fyr;;Norway;6;59-09N;010-50E;;;;10;
01;496;----;Holand-Loken;;Norway;6;59-49N;011-29E;;;152;154;
01;497;----;Prestebakke;;Norway;6;59-00N;011-32E;;;157;;
01;498;----;Magnor;;Norway;6;59-58N;012-13E;;;154;153;
02;012;----;Ritsem;;Sweden;6;67-44N;017-28E;;;521;523;P
02;020;----;Katterjakk;;Sweden;6;68-25N;018-10E;;;515;517;P
02;022;----;Abisko;;Sweden;6;68-21N;018-49E;;;394;394;
02;032;----;Tornetrask Lake;;Sweden;6;68-13N;019-43E;;;393;;
02;036;----;Nikkaluokta;;Sweden;6;67-51N;019-02E;;;467;468;
02;043;----;Esrange;;Sweden;6;67-56N;021-04E;;;330;341;
02;044;ESNQ;Kiruna Airport;;Sweden;6;67-49N;020-20E;;;452;;
02;045;----;Kiruna Geofysiska;;Sweden;6;67-50N;020-26E;;;408;;
02;049;ESNG;Gallivare;;Sweden;6;67-09N;020-39E;;;359;360;
02;080;----;Karesuando;;Sweden;6;68-27N;022-30E;;;327;327;P
02;096;----;Pajala;;Sweden;6;67-13N;023-24E;;;168;168;P
02;103;----;Hemavan-Skorvfjallet;;Sweden;6;65-47N;015-04E;;;800;;
02;104;----;Hemavan;;Sweden;6;65-49N;015-06E;;;473;473;
02;105;----;Abelvattnet;;Sweden;6;65-32N;014-59E;;;670;;
02;118;----;Dikanas-Skansnas;;Sweden;6;65-19N;016-02E;;;525;;
02;120;----;Kvikkjokk;;Sweden;6;66-57N;017-45E;;;337;337;P
02;124;----;Arjeplog;;Sweden;6;66-02N;017-52E;;;430;;P
02;128;ESPD;Gunnarn;;Sweden;6;64-58N;017-42E;;;280;283;P
02;141;----;Tjakaape;;Sweden;6;66-19N;019-13E;;;;582;
02;142;ESNJ;Jokkmokk;;Sweden;6;66-38N;019-39E;;;263;264;P
02;143;----;Paljamyren;;Sweden;6;66-13N;019-08E;;;;570;
02;145;----;Tellejaur;;Sweden;6;66-09N;019-38E;;;;436;
02;154;ESPE;Vidsel;;Sweden;6;65-52N;020-08E;;;180;182;
